sentence;consultant_id;gender;parameter_type
Шамель (5) Фазиль (4) йацк1Ыс рЫц1а тширЫхъынх1вит1;4;f;verb
амац1ауг1вЫ йацк1Ыс арЫпхьаг1в рЫц1а дг1апсИт1;4;f;verb
Апхьаг1в рах1А дычвИт1 дынхауА ацк1Ыс;4;f;verb
Мурат (5) Мух1амад (4) йацк1Ыс рах1А дЫг1вит1;4;f;verb
Шамель (5) Фазиль (4) йацк1Ыс рах1А тширЫхъынх1вит1;4;f;verb
дгвыбзыгъаздх1ва рЫц1а дпшдзап1;5;f;adj
арИ ашв Ацк1ыс ауахьауИ ашв рЫц1а йагъьп1;5;f;adj
зымг1вА йаларц1Аз Ацк1ыс арИ Апхьага рах1А йджьащАхъвап1;5;f;adj
ауИ рЫц1а ласЫ дпхьадзИт1 са сшг1ва Ацк1ыс  сарА псАйспадза сг1вит1;5;f;adv
ауИ рЫц1а ласЫта дпхьадзИт1 са сшг1ва Ацк1ыс  сарА псАйспадза сг1вит1;5;f;adv
ауИ рах1А дута дхъыччит1 са сАцк1ыс;5;f;adv
ауИ дУта рах1А дхъыччит1 са сАцк1ыс;5;f;adv
ауИ рах1А дхъыччит1 са сАцк1ыс;5;f;adv
ауИ дхъыччит1 рах1А са сАцк1ыс;5;f;adv
рах1А ауИ дхъыччит1 са сАцк1ыс;5;f;adv
ауИ дхъыччит1 са сАцк1ыс рах1А;5;f;adv
ауИ рах1А ласЫ дпхьадзИт1 са сшг1ва Ацк1ыс;5;f;adv
ауИ рах1А ласЫ дпхьадзИт1 са сшг1ва Ацк1ыс  сарА псАйспадза сг1вит1;5;f;adv
ауИ рах1А ласЫта дпхьадзИт1 са сшг1ва Ацк1ыс  сарА псАйспадза сг1вит1;5;f;adv
са сшазкъвЫцуа ацк1Ыс амш рах1А йауЫрап1;7;f;adj
сшазкъвЫцуа ацк1Ыс амш рах1А йауЫрап1;7;f;adj
амш рах1А йауЫрап1 са сшазкъвЫцуа ацк1Ыс;7;f;adj
амш рах1А йауЫрап1 сшазкъвЫцуа ацк1Ыс;7;f;adj
Мухамад йбОра ацк1Ыс СултАн йтЫдзхъпк1ьы рЫц1а йагъьп1;7;f;adj
рЫц1а ддуп1;7;f;adj
рЫц1а дпшдзап1;7;f;adj
ауИ сара сацк1Ыс рЫц1а ласЫта дАпхьит1;7;f;adv
ауИ рЫц1а ласЫта дАпхьит1 сацк1Ыс;7;f;adv
ауИ ласЫта рЫц1а дАпхьит1 сацк1Ыс;7;f;adv
ауИ ласЫта дАпхьит1 рЫц1а сацк1Ыс;7;f;adv
ауИ ласЫта дАпхьит1 сацк1Ыс рЫц1а;7;f;adv
ауИ рЫц1а сАцк1ыс ласЫта дАпхьит1;7;f;adv
ауИ сАцк1ыс ласЫта рЫц1а дАпхьит1;7;f;adv
ауИ сАцк1ыс ласЫта дАпхьит1 рЫц1а;7;f;adv
ауИ сАцк1ыс рЫц1а ласЫта дАпхьит1;7;f;adv
ауИ рах1А ласЫта дАпхьит1 сацк1Ыс;7;f;adv
ауИ ласЫта рах1А дАпхьит1 сАцк1ыс;7;f;adv
ауИ ласЫта дАпхьит1 рах1А сАцк1ыс;7;f;adv
ауИ ласЫта дАпхьит1 сАцк1ыс рах1А;7;f;adv
РуслАн ФатИма тшы шылг1вуА Ацк1ыс рах1А ласЫта дАпхьит1;7;f;adv
РуслАн ФатИма тшы шылг1вуА Ацк1ыс рах1А ласЫ дАпхьит1;7;f;adv
ауИ рах1А ласЫ дЫг1вит1 сарА сацк1ыс;7;f;adv
сара сшыдзцауА ацк1Ыс МурАт рах1А ласЫта дыг1вИт1;7;f;adv
сарА къальАмла сшг1ва ацк1Ыс ауи къарандашла рах1А ласЫта дг1вит1;7;f;adv
ауи къарандАшла рах1А ласЫта дг1вит1 сарА къальАмла сшг1вуА ацк1Ыс;7;f;adv
сарА къальАмла рах1А ласЫта сг1вит1 ауи къарандашла дшг1ва ацк1Ыс;7;f;adv
рах1А дласып1;7;f;adv
РуслАн ФатИма тшы шылг1вуА Ацк1ыс рЫц1а ласЫта дАпхьит1;7;f;adv
РуслАн ФатИма тшы шылг1вуА Ацк1ыс рЫц1а ласЫ дАпхьит1;7;f;adv
сара сшыдзцауА ацк1Ыс МурАт рЫц1а ласЫта дыг1вИт1;7;f;adv
сарА къальАмла сшг1ва ацк1Ыс ауи къарандашла рЫц1а ласЫ-лас дг1вит1;7;f;adv
сарА къальАмла сшг1ва ацк1Ыс ауи къарандашла рЫц1а ласЫ дг1вит1;7;f;adv
сарА къальАмла сшг1ва ацк1Ыс ауи къарандашла рЫц1а ласыта дг1вит1;7;f;adv
сарА къальАмла сшг1ва ацк1Ыс ауи къарандашла рЫц1а ласЫта дг1вит1;7;f;adv
ауи къарандАшла рЫц1а ласЫта дг1вит1 сарА къальАмла сшг1ва ацк1Ыс;7;f;adv
ШамЕль къальАмла ацк1Ыс къарандАшла рЫц1а ласЫта дг1вит1;7;f;adv
ШамЕль къарандАшла рЫц1а ласЫта дг1вит1 къальАмла ацк1Ыс;7;f;adv
ШамАль къальАмла дшг1ва ацк1Ыс къарандашла рЫц1а ласЫта дг1вит1;7;f;adv
ШамЕль къарандАшла рЫц1а ласЫта дг1вит1 къальАмла дшг1ва ацк1Ыс;7;f;adv
Шамель къарандашла рЫц1а ласЫ дг1вит1 йъадзапирЫдзадзуа ацк1Ыс;7;f;adv
Шамель къарандашла рЫц1а ласЫ дг1вит1 къарандаш ъадзапирЫдзадзуа ацк1Ыс;7;f;adv
Шамель къарандашла рЫц1а ласЫ дг1вит1 къарандАшла агъыч дшыйщуА ацк1Ыс;7;f;adv
Шамель къарандашла рЫц1а ласЫ дг1вит1 агъыч дшыйщуА ацк1Ыс;7;f;adv
Шамель къарандашла рЫц1а ласЫ дг1вит1 агъыч ауЫла дшыйщуА ацк1Ыс;7;f;adv
сарА Мух1амАд йацк1Ыс Султ1Ан рах1А бзи дызбИт1;7;f;verb
рах1А бзи бызбит1;7;f;verb
дъАдзамг1вайсуа ацк1Ыс дъАдзаг1вуа рЫц1а йайх1ап1;7;f;verb
ЗарИна ФатИма лацк1Ыс г1ванла рЫц1а дх1аг1ап1  ауАса ФатИма дсг1ап1;8;f;adj
ЗарИна ФатИма лацк1Ыс г1ванла рах1А дх1аг1ап1  ауАса ФатИма дсг1ап1;8;f;adj
аба рЫц1а ласЫ дчит1 йпа йацк1Ыс;8;f;adv
аба рЫц1а ласЫта дчит1 йпа йацк1Ыс;8;f;adv
аба дчит1 рЫц1а ласЫ йпа йацк1Ыс;8;f;adv
аба дчит1 рЫц1а ласЫта йпа йацк1Ыс;8;f;adv
Зарина дхвыцп1 ауаса Зарина Фатима лацк1Ыс рЫц1а ддуп1;9;f;adj
Зарина Фатима лацк1Ыс рЫц1а дх1аг1Ап1;9;f;adj
Зарина дхвыцп1 ауаса Зарина Фатима лацк1Ыс рах1А ддуп1;9;f;adj
Зарина Фатима лацк1Ыс рах1А дх1аг1Ап1  ауаса ауАт йгьх1аг1Ам;9;f;adj
Зарина Фатима лацк1Ыс рах1А дх1аг1Ап1;9;f;adj
Зарина Фатима лацк1Ыс рах1А дх1аг1Ап1  ауаса ауАт аг1вЫджьгьи дук1 йгьх1аг1Ам;9;f;adj
Зарина Фатима лацк1Ыс агАлагьи рах1А дхвыцп1;9;f;adj
рах1А ддуп1 са сАцк1ыс;9;f;adj
рах1А йч1ыхвп1;9;f;adj
рах1А дгвыбзыгъап1;9;f;adj
рах1А дгвыбзыгъап1 са сАцк1ыс;9;f;adj
сарА псАйспадза сг1вЫзт1х1ва  ауИ рах1А ласЫта дпхьадзИт1 са сшг1ва Ацк1ыс;9;f;adv
ауИ рЫц1а ласЫта дпхьадзИт1 са сшг1ва Ацк1ыс  ауАса ауИ(-гьи) псАйспата дпхьадзит1;9;f;adv
Шамель (5) Фазиль (3-4) йацк1Ыс рЫц1а бзИта тширЫхъынх1вит1;9;f;adv
Шамель (5) Фазиль (3-4) йацк1Ыс рах1А бзИта тширЫхъынх1вит1;9;f;adv
рах1А дласып1;9;f;adv
рах1А бзи бызбит1;9;f;verb
